,word,frequency,suggest_word,score
0,EMEA,795,EM EA,89
1,DBA,583,DAB,67
2,CRM,558,CM,80
3,UI,532,II,50
4,Online,526,On line,92
5,3D,450,3,67
6,Programme,432,Programmer,95
7,ndash,431,dash,89
8,RampD,343,Ram Pd,55
9,CoFounder,340,Co Founder,95
10,UX,339,IX,50
11,HSE,304,SHE,67
12,Admin,291,Armin,80
13,Subsea,279,Subset,83
14,PreSales,279,P Resales,71
15,CTO,249,COT,67
16,Presales,247,Resales,80
17,SQL,243,SQ,80
18,iOS,243,OS,80
19,de,231,DE,0
20,Snr,228,Sn,80
21,PHP,219,PP,80
22,VFX,213,VEX,67
23,SharePoint,213,Share Point,95
24,APAC,203,APACE,89
25,Qa,194,QA,50
26,FrontEnd,182,Front End,94
27,Telecom,178,Telecoms,93
28,BW,174,BE,50
29,Salesforce,172,Sales force,95
30,ABAP,170,ASAP,75
31,Centre,168,Center,83
32,FX,163,F,67
33,SAS,156,ASS,67
34,Cisco,155,Crisco,91
35,ERP,148,REP,67
36,Cofounder,142,Co founder,95
37,Webmaster,142,Web master,95
38,Frontend,137,Fronted,93
39,Helpdesk,133,Help desk,94
40,FICO,132,FOCI,50
41,SME,128,TIME,57
42,Salesforcecom,121,Salesroom,73
43,IP,118,PI,50
44,Pre,117,Pr,80
45,AVP,111,AV,80
46,J2EE,108,JEEP,75
47,SVP,106,SIP,67
48,ProgrammerAnalyst,104,Programmer Analyst,97
49,PMO,103,PM,80
50,CSV,103,CS,80
51,Citrix,95,Citric,83
52,iPhone,95,i Phone,92
53,ETL,93,TEL,67
54,UIUX,88,LINUX,67
55,ICT,87,CIT,67
56,eCommerce,84,e Commerce,95
57,QAQC,84,QC,67
58,Healthcare,83,Health care,95
59,Sharepoint,81,Share point,95
60,3d,80,3,67
61,FI,80,PHI,40
62,Virtualization,79,Visualization,89
63,Backend,78,Backed,92
64,Apps,78,Alps,75
65,App,76,Pp,40
66,MySQL,75,Mys,50
67,Ui,74,U,67
68,SOA,74,SPA,67
69,Onsite,73,Onside,83
70,NOC,71,CON,33
71,SDET,71,SET,86
72,Gameplay,70,Game play,94
73,2D,70,2,67
74,ISU,69,USU,67
75,Sw,69,SW,50
76,Ux,67,U,67
77,SMB,65,SOB,67
78,Middleware,64,Middle ware,95
79,SCM,64,CM,80
80,SQA,62,SQ,80
81,SEO,62,SO,80
82,CIO,62,SO,40
83,NDT,62,NET,67
84,Siebel,61,Sibel,91
85,Dba,61,Eba,67
86,Responsable,60,Responsible,91
87,Geoscientist,59,Geo scientist,96
88,DesignerDeveloper,59,Designer Developer,97
89,GMP,59,GM,80
90,Rampd,58,Ram pd,91
91,QP,57,Q,67
92,CMC,57,CM,80
93,Vfx,57,Vax,67
94,HRIS,57,HRS,86
95,Workover,56,Work over,94
96,SDE,55,TIDE,57
97,Enginner,54,Eng inner,94
98,VMware,54,Firmware,57
99,PeopleSoft,54,People Soft,95
100,Programmeranalyst,53,Programmer analyst,97
101,Financials,53,Financial,95
102,ECommerce,53,E Commerce,95
103,ASIC,52,SIC,86
104,MDM,50,MM,80
105,OBIEE,50,OBIED,80
106,Ingeacutenieur,49,Nonthreatening,50
